30.000000	39.000000	36.000000	37.000000	2.000000	47.000000
49.000000	92.000000	88.000000	37.000000	5.000000	104.000000
110.000000	96.000000	140.000000	37.000000	15.000000	120.000000
166.000000	107.000000	218.000000	37.000000	17.000000	158.000000
180.000000	136.000000	231.000000	37.000000	17.000000	192.000000
187.000000	181.000000	249.000000	40.000000	24.000000	237.000000
265.000000	181.000000	327.000000	40.000000	24.000000	242.000000
288.000000	204.000000	361.000000	40.000000	36.000000	266.000000
334.000000	245.000000	446.000000	53.000000	60.000000	318.000000
378.000000	245.000000	490.000000	53.000000	72.000000	323.000000
424.000000	260.000000	544.000000	53.000000	93.000000	342.000000
499.000000	306.000000	626.000000	70.000000	93.000000	435.000000
543.000000	306.000000	670.000000	70.000000	111.000000	445.000000
610.000000	322.000000	738.000000	79.000000	113.000000	462.000000
622.000000	355.000000	769.000000	100.000000	113.000000	498.000000
670.000000	390.000000	838.000000	113.000000	113.000000	538.000000
756.000000	393.000000	928.000000	113.000000	171.000000	546.000000
780.000000	454.000000	936.000000	113.000000	172.000000	622.000000
785.000000	531.000000	953.000000	113.000000	172.000000	703.000000
896.000000	540.000000	1022.000000	118.000000	210.000000	781.000000
900.000000	605.000000	1041.000000	121.000000	210.000000	849.000000
935.000000	618.000000	1093.000000	121.000000	210.000000	888.000000
998.000000	646.000000	1172.000000	128.000000	247.000000	920.000000
1009.000000	649.000000	1183.000000	131.000000	247.000000	931.000000
1045.000000	708.000000	1279.000000	131.000000	247.000000	935.000000
1169.000000	722.000000	1379.000000	131.000000	289.000000	1025.000000
1215.000000	750.000000	1430.000000	154.000000	289.000000	1073.000000
1227.000000	826.000000	1448.000000	154.000000	289.000000	1155.000000
1264.000000	827.000000	1485.000000	155.000000	289.000000	1160.000000
1280.000000	882.000000	1557.000000	161.000000	302.000000	1174.000000
1336.000000	925.000000	1647.000000	161.000000	302.000000	1266.000000
1392.000000	969.000000	1709.000000	161.000000	321.000000	1311.000000
1455.000000	969.000000	1772.000000	161.000000	321.000000	1369.000000
1525.000000	993.000000	1842.000000	185.000000	360.000000	1399.000000
1601.000000	1071.000000	1924.000000	185.000000	417.000000	1476.000000
1690.000000	1138.000000	2019.000000	185.000000	417.000000	1567.000000
1741.000000	1199.000000	2093.000000	185.000000	463.000000	1632.000000
1767.000000	1243.000000	2141.000000	185.000000	463.000000	1681.000000
1836.000000	1272.000000	2227.000000	185.000000	463.000000	1767.000000
1836.000000	1317.000000	2254.000000	196.000000	463.000000	1812.000000
1864.000000	1334.000000	2300.000000	196.000000	463.000000	1843.000000
1935.000000	1351.000000	2373.000000	196.000000	504.000000	1867.000000
1975.000000	1392.000000	2458.000000	196.000000	504.000000	1910.000000
2049.000000	1412.000000	2551.000000	198.000000	539.000000	1917.000000
2101.000000	1429.000000	2621.000000	198.000000	539.000000	1954.000000
2173.000000	1454.000000	2709.000000	204.000000	545.000000	1987.000000
2216.000000	1511.000000	2762.000000	224.000000	545.000000	2072.000000
2223.000000	1587.000000	2839.000000	232.000000	545.000000	2154.000000
2268.000000	1639.000000	2904.000000	232.000000	545.000000	2235.000000
2274.000000	1682.000000	2930.000000	252.000000	551.000000	2278.000000
2346.000000	1656.000000	2968.000000	252.000000	551.000000	2294.000000
2393.000000	1687.000000	3044.000000	252.000000	551.000000	2330.000000
2411.000000	1766.000000	3098.000000	255.000000	551.000000	2426.000000
2479.000000	1776.000000	3167.000000	256.000000	551.000000	2448.000000
2502.000000	1843.000000	3199.000000	290.000000	555.000000	2533.000000
2574.000000	1847.000000	3273.000000	291.000000	555.000000	2540.000000
2626.000000	1868.000000	3329.000000	291.000000	555.000000	2563.000000
2691.000000	1870.000000	3374.000000	308.000000	575.000000	2606.000000
2684.000000	1916.000000	3412.000000	313.000000	590.000000	2621.000000
2721.000000	1929.000000	3462.000000	313.000000	590.000000	2655.000000
2792.000000	1975.000000	3560.000000	329.000000	590.000000	2724.000000
2839.000000	1996.000000	3568.000000	347.000000	592.000000	2786.000000
2888.000000	1996.000000	3617.000000	347.000000	592.000000	2792.000000
2914.000000	2024.000000	3670.000000	347.000000	592.000000	2825.000000
2953.000000	2105.000000	3735.000000	347.000000	592.000000	2923.000000
2925.000000	2146.000000	3752.000000	347.000000	595.000000	2929.000000
2987.000000	2146.000000	3791.000000	347.000000	612.000000	2970.000000
3017.000000	2146.000000	3821.000000	347.000000	612.000000	2978.000000
3014.000000	2217.000000	3863.000000	377.000000	621.000000	3021.000000
3020.000000	2222.000000	3872.000000	377.000000	622.000000	3027.000000
3065.000000	2281.000000	3961.000000	377.000000	622.000000	3127.000000
3105.000000	2281.000000	4001.000000	377.000000	634.000000	3147.000000
3105.000000	2308.000000	4015.000000	377.000000	634.000000	3174.000000
3118.000000	2394.000000	4030.000000	394.000000	636.000000	3264.000000
3188.000000	2431.000000	4108.000000	394.000000	636.000000	3306.000000
3199.000000	2483.000000	4123.000000	394.000000	647.000000	3358.000000
3233.000000	2505.000000	4145.000000	394.000000	663.000000	3397.000000
3237.000000	2538.000000	4154.000000	398.000000	667.000000	3430.000000
3312.000000	2597.000000	4247.000000	440.000000	693.000000	3503.000000
3407.000000	2605.000000	4342.000000	448.000000	721.000000	3534.000000
3413.000000	2737.000000	4393.000000	539.000000	721.000000	3633.000000
3427.000000	2787.000000	4414.000000	580.000000	721.000000	3690.000000
3486.000000	2840.000000	4492.000000	615.000000	725.000000	3786.000000
3548.000000	2897.000000	4547.000000	615.000000	768.000000	3861.000000
3614.000000	2928.000000	4582.000000	615.000000	789.000000	3933.000000
